,geometry,osid,theme,changetype,name1_text,name2_text,roadlinkid,description,versiondate,name1_language,name2_language,routehierarchy,geometry_length_m,alternatename1_text,alternatename2_text,capturespecification,versionavailabletodate,alternatename1_language,alternatename2_language,roadclassificationnumber,versionavailablefromdate,presenceofpavement_source,presenceofpavement_sideofroad,presenceofpavement_updatedate,presenceofpavement_evidencedate,presenceofpavement_capturemethod,presenceofpavement_averagewidth_m,presenceofpavement_minimumwidth_m
1,"LINESTRING (-1.1241095 52.6385924, -1.12409 52.6386341, -1.1240147 52.6387054, -1.1239698 52.6387321, -1.1239401 52.6387408, -1.1238215 52.6387579, -1.1230975 52.6387526, -1.1226542 52.6387493)",8bbd63d5-f5c9-4f43-8600-c84127030b15,Transport,Modified Attributes,Crafton Street East,,b2f56cbc-b4e4-4b01-97ec-3a47378b63e8,Pavement,2023-11-10,,,Local Road,107.974,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2019-03-29,Automated Process,2.13,1.02
2,"LINESTRING (-1.1252592 52.6392718, -1.1246758 52.6388991, -1.1241981 52.6385772)",9abbace4-643a-4b0d-9f1d-bedb77a787a8,Transport,Modified Attributes,St Matthews Way,,783d5c27-c2ac-4e1e-8b8c-8c633e2fb8fb,Pavement,2023-11-10,,,A Road,105.49,,,Urban,,,,A594,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2019-03-29,Automated Process,2.54,1.29
3,"LINESTRING (-1.1241237 52.6385622, -1.12409 52.6386341, -1.1240147 52.6387054, -1.1239698 52.6387321, -1.1239401 52.6387408, -1.1238215 52.6387579, -1.1230975 52.6387526, -1.1227007 52.6387496)",b7622a18-5ee3-48bb-aa01-0d11f8d99e76,Transport,Modified Attributes,Crafton Street East,,b2f56cbc-b4e4-4b01-97ec-3a47378b63e8,Pavement,2023-11-10,,,Local Road,108.318,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2019-03-29,Automated Process,3.13,0.93
4,"LINESTRING (-1.1234987 52.6380657, -1.1235977 52.6381398, -1.1236411 52.6381722, -1.1236608 52.6381891, -1.1237573 52.638272, -1.1241217 52.6385264, -1.1241275 52.63853)",c347d605-789b-456a-aa78-0385eec852c7,Transport,Modified Attributes,St Matthews Way,,fa31c4e5-7da2-4aec-8984-dde6f98b3fb8,Pavement,2023-11-10,,,A Road,66.975,,,Urban,,,,A594,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2019-03-29,Automated Process,2.37,0.95
0,"LINESTRING (-0.5345562 53.2215868, -0.5344887 53.221582, -0.5344737 53.2215818, -0.5344146 53.221581)",1e49f40f-19ea-4668-8305-5a66b309d87c,Transport,Modified Geometry And Attributes,Ripon Street,,91ccd5ba-9307-41c4-ba46-b2b221bbe28c,Pavement,2023-11-10,,,Local Road,9.484,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2018-05-15,Automated Process,2.01,1.17
1,"LINESTRING (-0.5343989 53.2215809, -0.5343777 53.2215377, -0.5343141 53.2214085, -0.5338386 53.2204413, -0.5337818 53.2203156)",5c54f1d3-c79b-4e0d-8e43-b9abd2693d71,Transport,Modified Attributes,Canwick Road,,e4a05fdc-4387-4eb9-954d-141e1eb9df1e,Pavement,2023-11-10,,,A Road,146.686,,,Urban,,,,A1434,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2018-05-15,Automated Process,2.37,1.19
2,"LINESTRING (-0.5350369 53.2216391, -0.5346381 53.2215928, -0.5346249 53.2215918, -0.5346006 53.2215901)",98a18ae2-ada7-40f1-aaab-abfa3cc10129,Transport,Modified Attributes,Ripon Street,,91ccd5ba-9307-41c4-ba46-b2b221bbe28c,Pavement,2023-11-10,,,Local Road,29.643,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2018-05-15,Automated Process,2.01,1.17
3,"LINESTRING (-0.5345632 53.221918, -0.534483 53.2217534, -0.534426 53.2216366)",b8e1ff4b-245d-474a-a376-ea5905fe6dcb,Transport,New,Canwick Road,,85a40566-e910-416e-b528-ae3907492c25,Pavement,2023-09-14,,,A Road,32.623,,,Urban,,,,A1434,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2018-05-15,Automated Process,2.22,0.93
4,"LINESTRING (-0.5345632 53.221918, -0.534483 53.2217534, -0.5344199 53.221624, -0.5343989 53.2215809)",c6d079b4-93b2-4a47-861c-ba99d2840654,Transport,New,Canwick Road,,85a40566-e910-416e-b528-ae3907492c25,Pavement,2023-09-14,,,A Road,39.083,,,Urban,,,,A1434,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2018-05-15,Automated Process,2.02,1.44
5,"LINESTRING (-0.5343964 53.2215758, -0.5343777 53.2215377, -0.5343141 53.2214085, -0.5338386 53.2204413, -0.5337284 53.2201972, -0.533661 53.2199861, -0.5336504 53.2199423)",d743a211-c5b8-4647-89c9-90868461e33a,Transport,Modified Attributes,Canwick Road,,e4a05fdc-4387-4eb9-954d-141e1eb9df1e,Pavement,2023-11-10,,,A Road,188.595,,,Urban,,,,A1434,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2018-05-15,Automated Process,2.74,0.94
6,"LINESTRING (-0.5350708 53.221643, -0.5346381 53.2215928, -0.5346249 53.2215918, -0.5345116 53.2215836)",e726270b-e206-417f-bb7a-a2a76629cc74,Transport,Modified Attributes,Ripon Street,,91ccd5ba-9307-41c4-ba46-b2b221bbe28c,Pavement,2023-11-10,,,Local Road,37.936,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2018-05-15,Automated Process,1.92,0.97
0,"LINESTRING (-0.4599135 51.8921945, -0.4600546 51.8922026, -0.4610273 51.8922333, -0.4613759 51.8922379, -0.4619276 51.8922541, -0.4625517 51.8922712)",3ff913c8-63c3-4c3b-9c07-e6a32c955dc4,Transport,Modified Geometry And Attributes,Dunstable Road,,91a90f40-4fcf-4339-9fed-cc0c193b8383,Pavement,2023-11-10,,,Local Road,181.795,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2021-04-17,Automated Process,1.61,0.98
1,"LINESTRING (-0.4625522 51.8922712, -0.462755 51.8922828, -0.463103 51.8923054, -0.4634116 51.8923401)",db5c6443-bacf-445c-aca5-ca28d1976fb1,Transport,Modified Attributes,Dunstable Road,,b29cb838-4ba6-4831-94bc-6d596330ae23,Pavement,2023-11-10,,,Local Road,59.684,Belper Road,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2021-04-17,Automated Process,2.19,1.06
2,"LINESTRING (-0.4639437 51.8926059, -0.4634297 51.8925254, -0.4629809 51.8924746, -0.4626474 51.8924523, -0.4623136 51.8924389, -0.4619795 51.8924346, -0.4610208 51.892422, -0.4609982 51.8924217)",f7145da4-176f-45f2-8855-fbdec53d4e7c,Transport,Modified Geometry And Attributes,Dunstable Road,,e55bf01d-ba7c-4ce2-bb33-aa966d421fac,Pavement,2023-11-10,,,A Road,204.56,,,Urban,,,,A505,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2021-02-02,Automated Process,2.72,0.42
0,"LINESTRING (-1.5957315 54.9867531, -1.5957416 54.9867503, -1.5960251 54.9867586)",0bb0c6bc-a431-44b8-8333-132c0040bea7,Transport,New,Back Jesmond Road,,f80c80bc-17e9-4564-a9b7-72fd5bdd734c,Pavement,2023-11-10,,,Local Road,18.884,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2001-07-15,Automated Process,1.02,0.78
1,"LINESTRING (-1.5954925 54.9862958, -1.5955597 54.9863293)",16b1530f-02b5-4d74-af30-f6953215a019,Transport,New,Deuchar Street,,78ef0940-2674-4cb0-9079-3f493639eea5,Pavement,2023-11-10,,,Local Road,5.692,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2021-07-16,Automated Process,2.45,0.99
2,"LINESTRING (-1.5949204 54.9864816, -1.5950103 54.9864333, -1.5952461 54.9862993, -1.5953404 54.9862367)",17110796-37fe-47c7-8ba7-e52e7a838e42,Transport,Modified Attributes,Cradlewell,,1749c903-3820-46d6-b827-e58bfa1c8a82,Pavement,2023-11-10,,,A Road Primary,38.303,,,Urban,,,,A1058,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2021-04-19,Automated Process,2.34,1.3
3,"LINESTRING (-1.5940683 54.9869391, -1.5949204 54.9864816)",2c621c7f-6544-4188-af20-12d2c7a30d35,Transport,Modified Attributes,Cradlewell,,7a5b7359-10aa-4108-ae0b-a81eec5443c8,Pavement,2023-11-10,,,A Road Primary,74.602,,,Urban,,,,A1058,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2021-04-19,Automated Process,2.74,0.78
4,"LINESTRING (-1.5955407 54.9862325, -1.5959841 54.9859423, -1.5961897 54.9857963)",369a5d4c-6946-492e-9d1f-bbdf7a3e49e8,Transport,New,Jesmond Road,,473dca73-9c82-47ba-94b4-b82a93d27be1,Pavement,2023-11-10,,,A Road Primary,63.896,,,Urban,,,,A1058,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2016-05-06,Automated Process,4.22,1.0
5,"LINESTRING (-1.5955043 54.9863016, -1.5955739 54.9863364, -1.5955781 54.9863382)",38943a95-b9dc-48f8-8cf9-6c5f323cff91,Transport,New,Deuchar Street,,78ef0940-2674-4cb0-9079-3f493639eea5,Pavement,2023-11-10,,,Local Road,6.237,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2016-05-06,Automated Process,2.88,0.95
6,"LINESTRING (-1.5955408 54.9863624, -1.595503 54.9863868, -1.5954634 54.9864041, -1.5954191 54.986434, -1.595362 54.9864791)",41724d57-a6d2-4e70-8b82-8e6be252c2e3,Transport,New,Jesmond Road,,0a3aff84-8e44-43dc-aebb-ff350a2cd29c,Pavement,2023-09-14,,,Local Road,17.401,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2001-07-15,Automated Process,0.4,0.4
7,"LINESTRING (-1.5954241 54.9863053, -1.595245 54.9864072, -1.594962 54.986577, -1.5947052 54.9867207)",5784fdd0-b169-4940-b835-83b46dcbeb6d,Transport,Modified Attributes,Cradlewell,,6973be78-6215-40f1-974b-e476aab1438d,Pavement,2023-11-10,,,A Road Primary,65.23,,,Urban,,,,A1058,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2021-07-16,Automated Process,2.17,0.53
8,"LINESTRING (-1.5960406 54.9865446, -1.5960718 54.9865537, -1.5961184 54.9865808, -1.5961183 54.9865898, -1.5961061 54.9866531)",57f05c5b-b9c4-47f2-b809-877ea6fdc0bd,Transport,Modified Attributes,Deuchar Street,,009af9fe-2006-4a9e-9857-3f69e984ea5a,Pavement,2023-11-10,,,Local Road,14.565,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2016-05-06,Automated Process,1.58,1.29
9,"LINESTRING (-1.5951523 54.9866318, -1.5949599 54.9867836, -1.5949452 54.9867931)",5940d5a6-85da-470e-a7e5-750cc90c2f6c,Transport,New,Jesmond Road,,d7d17030-b4cb-4b04-9f73-76986d058160,Pavement,2023-09-14,,,Local Road,22.316,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2007-09-20,Automated Process,2.41,1.31
10,"LINESTRING (-1.5960886 54.9865064, -1.5961981 54.9864193)",6e2bfef7-e5a1-4348-a815-cbfad1d057f1,Transport,New,Back Jesmond Road,,59c09b1a-605e-4d79-8a99-b0698fcc4bbf,Pavement,2023-09-14,,,Local Road,11.957,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2016-05-06,Automated Process,1.97,0.9
11,"LINESTRING (-1.5955336 54.986367, -1.595503 54.9863868, -1.5954634 54.9864041, -1.5954191 54.986434, -1.5953436 54.9864936, -1.595336 54.9864995, -1.5953321 54.9865021)",7c530a8c-e76a-475a-8454-50696f71097a,Transport,New,Jesmond Road,,0a3aff84-8e44-43dc-aebb-ff350a2cd29c,Pavement,2023-09-14,,,Local Road,19.909,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2021-07-16,Automated Process,2.35,0.7
12,"LINESTRING (-1.5960795 54.9865582, -1.5961184 54.9865808, -1.5961183 54.9865898, -1.5960854 54.9867602)",8840b57b-94e4-4d59-98e6-ab8f2deef80e,Transport,Modified Attributes,Deuchar Street,,009af9fe-2006-4a9e-9857-3f69e984ea5a,Pavement,2023-11-10,,,Local Road,23.617,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2018-06-25,Automated Process,1.82,0.94
13,"LINESTRING (-1.5955781 54.9863382, -1.5957166 54.9864, -1.5957168 54.9864001, -1.5960108 54.9865313)",b82a0b23-19a3-4e12-8db4-5577b0cb1195,Transport,New,Deuchar Street,,671bbd95-32f5-42ec-87c0-ae0287b58ca8,Pavement,2023-09-14,,,Local Road,35.051,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2016-05-06,Automated Process,2.15,1.02
14,"LINESTRING (-1.5960666 54.9865239, -1.5961694 54.9864422)",be5efa4f-6077-4c1f-b8bf-10952a2e7d45,Transport,New,Back Jesmond Road,,59c09b1a-605e-4d79-8a99-b0698fcc4bbf,Pavement,2023-09-14,,,Local Road,11.225,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2018-06-25,Automated Process,1.52,0.94
15,"LINESTRING (-1.5955784 54.9863384, -1.5959513 54.9865047)",c72d5150-6303-431c-b4fc-febe22bc8432,Transport,New,Deuchar Street,,671bbd95-32f5-42ec-87c0-ae0287b58ca8,Pavement,2023-09-14,,,Local Road,30.204,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2016-05-06,Automated Process,2.62,1.19
16,"LINESTRING (-1.5953404 54.9862367, -1.5956391 54.986058, -1.595891 54.9858791, -1.5959737 54.9858217)",c96da082-2440-45a1-a5d9-e6c171bff977,Transport,New,Jesmond Road,,d430230a-095d-4bf1-a811-fd90efe1db78,Pavement,2023-09-14,,,A Road Primary,61.499,,,Urban,,,,A1058,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2021-04-19,Automated Process,2.02,1.15
17,"LINESTRING (-1.5959913 54.9865226, -1.5960406 54.9865446)",cbcad28a-445f-42fe-bea1-8cc31518e636,Transport,New,Deuchar Street,,671bbd95-32f5-42ec-87c0-ae0287b58ca8,Pavement,2023-09-14,,,Local Road,3.989,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2016-05-06,Automated Process,1.4,1.21
18,"LINESTRING (-1.5955932 54.9868661, -1.5956156 54.9868487, -1.5956788 54.986786, -1.5957103 54.9867592, -1.5957416 54.9867503, -1.5960111 54.9867582)",dca4d0fe-6fff-4c9c-ad3f-97aa6920c94f,Transport,Modified Attributes,Back Jesmond Road,,f80c80bc-17e9-4564-a9b7-72fd5bdd734c,Pavement,2023-11-10,,,Local Road,33.582,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2016-05-06,Automated Process,1.06,0.88
19,"LINESTRING (-1.5953076 54.9865207, -1.595304 54.9865228, -1.5952434 54.9865599, -1.5951028 54.9866709, -1.5949599 54.9867836, -1.5949428 54.9867947)",f2b87f9a-72e7-4599-b994-baa027050a3d,Transport,New,Jesmond Road,,d7d17030-b4cb-4b04-9f73-76986d058160,Pavement,2023-09-14,,,Local Road,38.44,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2021-07-16,Automated Process,1.04,0.7
0,"LINESTRING (-1.1882454 52.970078, -1.1894272 52.9689507)",3cc51b8d-71a9-40ba-9a3f-2fcb9313c3a1,Transport,New,Western Boulevard,,10be389d-7a12-4fd1-8a01-2624d1438d23,Pavement,2023-09-14,,,A Road Primary,148.419,,,Urban,,,,A6514,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2022-11-22,Automated Process,2.43,0.97
1,"LINESTRING (-1.1885278 52.9691851, -1.1886063 52.969053, -1.1886219 52.9690171, -1.1886258 52.9690082, -1.1886369 52.9689826)",4dfaf42b-fa6c-4b50-809e-91eae575da79,Transport,New,Grace Drive,,daf299a9-a57d-430c-ad1e-c558175b6742,Pavement,2023-11-10,,,Local Road,23.701,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2017-05-10,Automated Process,1.57,1.04
2,"LINESTRING (-1.1891163 52.9695722, -1.1892072 52.9696106)",696c7490-a2e2-45e0-b22e-3258f83213a5,Transport,New,,,4471e6cd-70e3-4969-90d8-41087415c318,Pavement,2023-09-14,,,Secondary Access Road,7.455,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2021-06-03,Automated Process,3.14,1.43
3,"LINESTRING (-1.188473 52.9692773, -1.188509 52.9692167, -1.1886063 52.969053, -1.1886219 52.9690171, -1.1886224 52.9690159)",6bb339fe-5342-4d37-9ac6-126c402f533e,Transport,Modified Attributes,Grace Drive,,daf299a9-a57d-430c-ad1e-c558175b6742,Pavement,2023-11-10,,,Local Road,30.782,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2017-05-10,Automated Process,1.76,1.22
4,"LINESTRING (-1.1886432 52.9689514, -1.1886704 52.9688107, -1.1886721 52.9687208, -1.1886602 52.9685589)",93904a8f-9a70-47ed-b622-9e13eac951fd,Transport,New,Grace Drive,,088c10a7-4437-401b-8544-63ede11dfa3b,Pavement,2023-11-10,,,Local Road,43.78,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2002-10-22,Automated Process,3.37,1.11
5,"LINESTRING (-1.188449 52.9689692, -1.1884887 52.9689713, -1.1885756 52.9689771)",9c8fa2f1-c319-421d-8a6f-905748f0237d,Transport,New,Edgbaston Gardens,,d5b93a84-9bd1-4d31-9588-8f4bced275a1,Pavement,2023-09-14,,,Local Road,8.549,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2017-05-10,Automated Process,1.65,0.63
6,"LINESTRING (-1.1884733 52.9692767, -1.1884988 52.9692339)",a2e4c5f4-2144-4b55-9bcf-ff5e4bd4794d,Transport,New,Grace Drive,,daf299a9-a57d-430c-ad1e-c558175b6742,Pavement,2023-11-10,,,Local Road,5.056,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2017-05-10,Automated Process,1.57,1.04
7,"LINESTRING (-1.1886375 52.9689813, -1.1886704 52.9688107, -1.1886721 52.9687208, -1.1886603 52.9685602)",b6b39d2c-fa40-4db3-a143-60c75780d6af,Transport,Modified Attributes,Grace Drive,,088c10a7-4437-401b-8544-63ede11dfa3b,Pavement,2023-11-10,,,Local Road,46.993,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2017-05-10,Automated Process,1.83,1.17
8,"LINESTRING (-1.1891143 52.9695714, -1.1892012 52.9696081)",d8fff5bc-f0d2-4cb3-9325-30422f90636d,Transport,New,,,4471e6cd-70e3-4969-90d8-41087415c318,Pavement,2023-09-14,,,Secondary Access Road,7.126,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2021-06-03,Automated Process,2.79,1.43
9,"LINESTRING (-1.1890689 52.9695522, -1.1896193 52.9690329)",dcce3564-7d30-4eeb-ae4f-847a3b92f0da,Transport,New,Western Boulevard,,130fecc4-610e-4ad5-8c05-413ce56aff43,Pavement,2023-09-14,,,A Road Primary,68.581,,,Urban,,,,A6514,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2021-06-03,Automated Process,3.53,1.33
10,"LINESTRING (-1.1884731 52.9689704, -1.1884887 52.9689713, -1.1885895 52.9689781)",efd483d3-6b43-4c8f-a01d-a4d3f62a447a,Transport,New,Edgbaston Gardens,,d5b93a84-9bd1-4d31-9588-8f4bced275a1,Pavement,2023-09-14,,,Local Road,7.861,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2002-10-22,Automated Process,1.7,1.1
11,"LINESTRING (-1.1884527 52.9701595, -1.1890689 52.9695522)",f9a5bad8-54b1-42a3-8be7-5bad6af2b042,Transport,New,Western Boulevard,,9815834c-a536-4d9a-b7cc-0e28e7d0de41,Pavement,2023-09-14,,,A Road Primary,79.23,,,Urban,,,,A6514,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2021-06-03,Automated Process,3.67,1.12
0,"LINESTRING (-2.0032988 52.5026896, -2.0032881 52.502723)",286ec024-1417-44a7-8755-7e3a6b0d489c,Transport,New,Blakeley Hall Road,,3cd7d597-1f74-4297-ab4a-52dc54775517,Pavement,2023-09-14,,,Local Road,3.79,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2016-04-20,Automated Process,1.4,1.02
1,"LINESTRING (-2.0035094 52.5028421, -2.0035217 52.5028083)",390c3b4b-f3d8-4149-8af0-28d5e9ba4db1,Transport,New,Blakeley Hall Gardens,,a6dd391f-a072-442a-8402-05a829b1ae26,Pavement,2023-09-14,,,Restricted Local Access Road,3.848,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2016-04-20,Automated Process,1.32,0.94
2,"LINESTRING (-2.0030946 52.5022907, -2.0031619 52.5022995, -2.0032462 52.5023116, -2.0033791 52.5023307)",407fda7f-dd54-49ac-9edc-e09884c9fa72,Transport,Modified Attributes,Birmingham Road,,4074b113-3c3e-4c18-bd62-aac029914a25,Pavement,2023-11-10,,,A Road,19.819,,,Urban,,,,A457,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2016-04-20,Automated Process,2.47,1.23
3,"LINESTRING (-2.0032797 52.502749, -2.0032073 52.5029611)",4254f641-00d7-4a49-82b6-fc39d9d4e889,Transport,New,Blakeley Hall Road,,4044e351-6d50-4ae4-8d77-9b0dc022201c,Pavement,2023-11-10,,,Local Road,24.109,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2016-04-20,Automated Process,1.65,1.36
4,"LINESTRING (-2.0029361 52.5021552, -2.0029261 52.501787, -2.0029121 52.5016243)",4b7aab02-7a9e-4871-a74d-87e400927aaf,Transport,New,Popes Lane,,1d112651-542b-472c-81e2-238020827e64,Pavement,2023-09-14,,,Minor Road,59.085,Pope's Lane,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2018-04-25,Automated Process,1.83,1.19
5,"LINESTRING (-2.0034566 52.5022455, -2.0036775 52.5022815, -2.0037411 52.5022919, -2.0040605 52.5023444, -2.0042225 52.5023803, -2.0049739 52.5025241, -2.0051506 52.5025421, -2.0053864 52.5025691, -2.0055926 52.502587, -2.0057841 52.502587, -2.0058139 52.5025862, -2.0061082 52.502578)",4ef8b464-0129-4ff4-948d-6cae3c1620f4,Transport,Modified Attributes,Birmingham Road,,2c7781c9-d4d2-4c5d-989b-84c966c8a2f6,Pavement,2023-11-10,,,A Road,185.208,,,Urban,,,,A457,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2018-04-25,Automated Process,2.79,1.24
6,"LINESTRING (-2.0035406 52.502753, -2.0035521 52.5027179)",6dcccd94-596e-4f0b-a944-a759df060a1c,Transport,New,Blakeley Hall Gardens,,db60234d-ec87-4a13-a392-a48fd1796258,Pavement,2023-11-10,,,Restricted Local Access Road,3.98,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2016-04-20,Automated Process,1.45,0.92
7,"LINESTRING (-2.0029753 52.5021723, -2.0031098 52.5021928, -2.0032831 52.5022191, -2.0034565 52.5022455)",702698a2-732e-4156-8dec-5d7dc9ba7deb,Transport,Modified Attributes,Birmingham Road,,22699816-9d1c-481d-b936-3d4a3204544d,Pavement,2023-11-10,,,A Road,33.665,,,Urban,,,,A457,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2018-04-25,Automated Process,2.36,0.98
8,"LINESTRING (-2.0032988 52.5026896, -2.0032797 52.502749)",7359a179-8465-4c4f-9fff-0273295ec6d6,Transport,New,Blakeley Hall Road,,3cd7d597-1f74-4297-ab4a-52dc54775517,Pavement,2023-09-14,,,Local Road,6.732,,,Urban,,,,,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2016-04-20,Automated Process,1.47,1.47
9,"LINESTRING (-2.0034778 52.5027774, -2.0033143 52.5027539)",766ab068-2846-4e64-8bf9-83ed2be88b3c,Transport,New,Blakeley Hall Gardens,,8a660ce3-0250-4f75-9177-3d9ef2e13ce2,Pavement,2023-11-10,,,Restricted Local Access Road,11.403,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2016-04-20,Automated Process,1.77,0.92
10,"LINESTRING (-2.0029947 52.5022777, -2.0030798 52.5022888, -2.0030946 52.5022907)",8b55b1e5-1537-4a3e-bf94-54f8dedcc2a9,Transport,New,Birmingham Road,,caf68c38-5283-4a5f-9390-83e4835e5d52,Pavement,2023-09-14,,,A Road,6.93,,,Urban,,,,A457,2023-09-15T00:00:00Z,Ordnance Survey,Left,2023-09-13,2018-04-25,Automated Process,1.66,1.15
11,"LINESTRING (-2.0033988 52.5023775, -2.0032988 52.5026896)",95200816-0002-4323-bf95-256ffa0a0b26,Transport,New,Blakeley Hall Road,,5f371f8a-6326-4426-9032-fac0d49880bf,Pavement,2023-11-10,,,Local Road,35.372,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2016-04-20,Automated Process,2.08,0.82
12,"LINESTRING (-2.0029365 52.5021664, -2.0031098 52.5021928, -2.0032831 52.5022191, -2.0034073 52.502238)",9dee1596-1433-402e-b54c-a66023a2d593,Transport,Modified Attributes,Birmingham Road,,22699816-9d1c-481d-b936-3d4a3204544d,Pavement,2023-11-10,,,A Road,32.936,,,Urban,,,,A457,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2016-04-20,Automated Process,1.87,1.11
13,"LINESTRING (-2.0026534 52.5022389, -2.0029129 52.5022671)",b5310442-4b25-4ebc-8f27-bbde1c503769,Transport,Modified Attributes,Birmingham Road,,1d7a8b2b-4dbf-4653-9ad7-b903f543f579,Pavement,2023-11-10,,,A Road,17.894,,,Urban,,,,A457,2023-11-11T00:00:00Z,Ordnance Survey,Right,2023-11-07,2016-04-20,Automated Process,4.45,1.46
14,"LINESTRING (-2.0034679 52.5023451, -2.0035154 52.5023534, -2.0036967 52.5023822, -2.0038542 52.5024073, -2.0040163 52.5024343, -2.0040881 52.5024489)",ba2059e8-38a0-4c73-969f-74122356b354,Transport,New,Birmingham Road,,b6c6e70d-9887-401e-b8b3-6c8ecc04e59e,Pavement,2023-09-14,,,A Road,43.662,,,Urban,,,,A457,2023-09-15T00:00:00Z,Ordnance Survey,Right,2023-09-13,2016-04-20,Automated Process,3.15,0.71
15,"LINESTRING (-2.0034788 52.5027775, -2.0033219 52.502755)",c1e555e3-9b7c-4935-b7e2-cdb8805828e8,Transport,Modified Attributes,Blakeley Hall Gardens,,8a660ce3-0250-4f75-9177-3d9ef2e13ce2,Pavement,2023-11-10,,,Restricted Local Access Road,10.943,,,Urban,,,,,2023-11-11T00:00:00Z,Ordnance Survey,Left,2023-11-07,2016-04-20,Automated Process,1.71,1.01
